$ [qin_kol001_seg002_sub002] [2015 - 2048],
$ [qin_kol001_seg002_sub002],
JDAY,Q (M3/S)
1232,0.9286
1233,0.9127
1234,0.8983
1235,0.8824
1236,0.868
1237,0.8536
1238,0.8393
1239,0.8265
1240,0.8122
1241,0.7994
1242,0.785
1243,0.7723
1244,0.7595
1245,0.7467
1246,0.7356
1247,0.7228
1248,0.7116
1249,0.6989
1250,0.6877
1251,0.6765
1252,0.6654
1253,0.6542
1254,0.6446
1255,0.6335
1256,0.6239
1257,0.6127
1258,0.6031
1259,0.5936
1260,0.584
1261,0.5744
1262,0.5648
1263,0.5553
1264,0.5457
1265,0.5377
1266,0.5281
1267,0.5202
1268,0.5122
1269,0.5026
1270,0.4946
1271,0.4867
1272,0.4787
1273,0.4723
1274,0.4643
1275,0.4563
1276,0.4484
1277,0.442
1278,0.4356
1279,0.4276
1280,0.4212
1281,0.4149
1282,0.4069
1283,0.4005
1284,0.3941
1285,0.3877
1286,0.3829
1287,0.3766
1288,0.3702
1289,0.3638
1290,0.359
1291,0.3526
1292,0.3478
1293,0.3415
1294,0.3367
1295,0.3303
1296,0.3255
1297,0.3207
1298,0.3159
1299,0.3111
1300,0.3064
1301,0.3016
1302,0.2968
1303,0.292
1304,0.2872
1305,0.2824
1306,0.2776
1307,0.2744
1308,0.2697
1309,0.2649
1310,0.2617
1311,0.2569
1312,0.2537
1313,0.2489
1314,0.2457
1315,0.2425
1316,0.2377
1317,0.2346
1318,0.2314
1319,0.2266
1320,0.2234
1321,0.2202
1322,0.217
1323,0.2138
1324,0.2106
1325,0.2074
1326,0.2042
1327,0.201
1328,0.1979
1329,0.1947
1330,0.1931
1331,0.1899
1332,0.1867
1333,0.1835
1334,0.1819
1335,0.1787
1336,0.1755
1337,0.1739
1338,0.1707
1339,0.1675
1340,0.1659
1341,0.1628
1342,0.1612
1343,0.158
1344,0.1564
1345,0.1548
1346,0.1516
1347,0.15
1348,0.1484
1349,0.1452
1350,0.1436
1351,0.142
1352,0.1388
1353,0.1372
1354,0.1356
1355,0.134
1356,0.1324
1357,0.1292
1358,0.1276
1359,0.1261
1360,0.1245
1361,0.1229
1362,0.1213
1363,0.1197
1364,0.1181
1365,0.1165
1366,0.1149
1367,0.1133
1368,0.1117
1369,0.1101
1370,0.1085
1371,0.1069
1372,0.1053
1373,0.1053
1374,0.1037
1375,0.1021
1376,0.1005
1377,0.0989
1378,0.0973
1379,0.0973
1380,0.0957
1381,0.0941
1382,0.0925
1383,0.0925
1384,0.0909
1385,0.0894
1386,0.0878
1387,0.0878
1388,0.0862
1389,0.0846
1390,0.0846
1391,0.083
1392,0.0814
1393,0.0814
1394,0.1021
1395,0.0814
1396,0.0782
1397,0.0782
1398,0.0766
1399,0.075
1400,0.075
1401,0.0734
1402,0.0734
1403,0.0718
1404,0.0718
1405,0.0702
1406,0.0702
1407,0.0686
1408,0.0686
1409,0.067
1410,0.067
1411,0.0654
1412,0.0654
1413,0.0638
1414,0.0638
1415,0.0638
1416,0.0622
1417,0.0622
1418,0.0606
1419,0.0606
1420,0.0606
1421,0.059
1422,0.059
1423,0.0574
1424,0.0574
1425,0.0574
1426,0.0558
1427,0.0558
1428,0.0558
1429,0.0543
1430,0.0543
1431,0.0543
1432,0.0527
1433,0.0527
1434,0.0527
1435,0.0511
1436,0.0511
1437,0.0511
1438,0.0511
1439,0.0495
1440,0.0495
1441,0.0511
1442,0.0495
1443,0.0479
1444,0.0479
1445,0.0622
1446,0.0463
1447,0.0463
1448,0.0463
1449,0.0495
1450,0.0463
1451,0.0447
1452,0.0447
1453,0.0447
1454,0.0447
1455,0.0431
1456,0.0431
1457,0.0431
1458,0.0431
1459,0.0431
1460,0.0415
1461,0.0415
1462,0.0415
1463,0.0415
1464,0.0894
1465,0.1596
1466,0.1979
1467,0.1963
1468,0.1931
1469,0.1899
1470,0.1867
1471,0.1835
1472,0.1915
1473,0.3526
1474,0.3462
1475,0.3415
1476,0.3351
1477,0.3303
1478,0.3255
1479,0.3207
1480,0.3143
1481,0.3143
1482,0.4196
1483,0.4228
1484,0.5872
1485,0.5776
1486,0.568
1487,0.5744
1488,0.5696
1489,0.7196
1490,0.7069
1491,0.6957
1492,0.6845
1493,0.6813
1494,0.71
1495,0.6989
1496,0.6925
1497,0.6813
1498,0.6702
1499,0.7803
1500,0.8856
1501,1.1105
1502,1.1648
1503,1.2605
1504,1.2446
1505,1.2238
1506,1.2031
1507,1.1839
1508,1.1632
1509,1.1441
1510,1.1249
1511,1.1058
1512,1.0882
1513,1.0691
1514,1.0515
1515,1.034
1516,1.018
1517,1.1265
1518,1.1728
1519,1.1584
1520,1.1393
1521,1.1217
1522,1.1233
1523,1.1058
1524,1.0866
1525,1.0691
1526,1.0515
1527,1.034
1528,1.16
1529,1.1393
1530,1.1217
1531,1.1026
1532,1.0834
1533,1.0659
1534,1.1664
