$ [qdt_kol001] [2015 - 2048],
$ [qdt_kol001],
JDAY,Q (M3/S)
1114,0.0386
1115,0.0443
1116,0.0435
1117,0.0428
1118,0.06
1119,0.061
1120,0.073
1121,0.0717
1122,0.0706
1123,0.0694
1124,0.0682
1125,0.0671
1126,0.0696
1127,0.0685
1128,0.0673
1129,0.0661
1130,0.0654
1131,0.0642
1132,0.0632
1133,0.0621
1134,0.0611
1135,0.06
1136,0.059
1137,0.0612
1138,0.0603
1139,0.0652
1140,0.064
1141,0.063
1142,0.0619
1143,0.0682
1144,0.0679
1145,0.0682
1146,0.0671
1147,0.0659
1148,0.0648
1149,0.0662
1150,0.0659
1151,0.0666
1152,0.0669
1153,0.077
1154,0.0761
1155,0.0845
1156,0.0857
1157,0.0843
1158,0.0979
1159,0.0985
1160,0.1001
1161,0.1113
1162,0.1179
1163,0.1227
1164,0.1213
1165,0.1366
1166,0.1342
1167,0.1319
1168,0.1297
1169,0.1276
1170,0.1347
1171,0.1325
1172,0.1344
1173,0.132
1174,0.1298
1175,0.1276
1176,0.1254
1177,0.1232
1178,0.1212
1179,0.1191
1180,0.1171
1181,0.1162
1182,0.115
1183,0.113
1184,0.1111
1185,0.1415
1186,0.1462
1187,0.1437
1188,0.1413
1189,0.1389
1190,0.1365
1191,0.1342
1192,0.1319
1193,0.1297
1194,0.1274
1195,0.1253
1196,0.1232
1197,0.1211
1198,0.119
1199,0.117
1200,0.115
1201,0.113
1202,0.1111
1203,0.1093
1204,0.1074
1205,0.1055
1206,0.1038
1207,0.102
1208,0.1002
1209,0.0986
1210,0.0968
1211,0.0952
1212,0.0937
1213,0.092
1214,0.0905
1215,0.089
1216,0.0875
1217,0.0859
1218,0.0845
1219,0.083
1220,0.0816
1221,0.0802
1222,0.0789
1223,0.0775
1224,0.0762
1225,0.0749
1226,0.0736
1227,0.0725
1228,0.0712
1229,0.07
1230,0.0688
1231,0.0676
1232,0.0665
1233,0.0653
1234,0.0642
1235,0.0631
1236,0.062
1237,0.061
1238,0.0599
1239,0.059
1240,0.0579
1241,0.057
1242,0.0559
1243,0.055
1244,0.054
1245,0.0532
1246,0.0523
1247,0.0513
1248,0.0505
1249,0.0496
1250,0.0488
1251,0.048
1252,0.0471
1253,0.0463
1254,0.0456
1255,0.0448
1256,0.0441
1257,0.0433
1258,0.0426
1259,0.0419
1260,0.0412
1261,0.0404
1262,0.0397
1263,0.039
1264,0.0383
1265,0.0378
1266,0.037
1267,0.0365
1268,0.0359
1269,0.0353
1270,0.0346
1271,0.034
1272,0.0334
1273,0.0329
1274,0.0324
1275,0.0318
1276,0.0313
1277,0.0307
1278,0.0302
1279,0.0297
1280,0.0292
1281,0.0287
1282,0.0281
1283,0.0277
1284,0.0272
1285,0.0267
1286,0.0264
1287,0.0259
1288,0.0254
1289,0.025
1290,0.0246
1291,0.0242
1292,0.0238
1293,0.0233
1294,0.023
1295,0.0225
1296,0.0222
1297,0.0218
